userId,movieId,rating
5,12,2.5
5,19,0.5
5,190,3.0
5,340,1.5
5,342,3.5
5,462,3.0
5,1618,1.5
5,1865,1.0
5,2043,2.5
5,2760,0.5
5,2859,0.5
5,2880,1.5
5,2971,2.0
5,3319,3.5
5,3547,3.5
5,3553,0.5
5,3691,3.0
5,3718,1.5
5,3733,1.0
5,3736,1.0
5,3754,3.5
5,3855,0.5
5,3871,2.0
5,3911,1.5
5,4160,1.0
5,4210,3.0
123,294,3.0
123,632,2.5
123,644,4.5
123,687,3.5
123,1201,3.0
123,1529,3.0
123,1843,3.5
123,1848,3.0
123,2112,3.5
123,2232,3.0
123,2256,3.5
123,2408,3.5
123,2533,2.5
123,2786,3.5
123,2787,3.0
123,2851,5.0
123,2900,3.5
123,2959,4.0
123,3014,3.5
123,3016,3.5
123,3092,5.0
123,3104,4.5
123,3136,4.0
123,3195,3.5
123,3354,3.0
123,3719,3.5
123,3779,4.5
123,3958,3.5
123,4041,4.0
123,4082,4.0
123,4274,5.0
123,4306,2.0
123,4315,4.5
123,4477,3.5
123,4626,3.5
160,21,5.0
160,109,4.0
160,193,4.0
160,278,4.5
160,280,4.5
160,477,3.5
160,520,4.5
160,521,3.5
160,620,3.5
160,689,3.5
160,824,3.5
160,935,4.0
160,950,4.5
160,1136,4.0
160,1238,3.5
160,1286,4.5
160,1366,4.5
160,1467,4.0
160,1716,5.0
160,1730,4.0
160,1810,5.0
160,1909,4.0
160,1921,4.0
160,1982,4.0
160,2022,3.0
160,2029,4.5
160,2130,5.0
160,2271,4.0
160,2281,4.0
160,2299,4.0
160,2447,4.0
160,2588,4.0
160,2602,4.0
160,2717,4.5
160,2931,4.5
160,3128,4.0
160,3131,4.5
226,79,4.0
226,144,3.5
226,145,3.5
226,167,4.0
226,169,4.0
226,209,5.0
226,225,4.0
226,384,3.0
226,516,3.0
226,537,2.5
226,574,4.0
226,581,4.0
226,609,3.5
226,726,3.5
226,748,4.0
226,759,3.0
226,771,3.5
226,906,4.0
226,1221,3.5
226,1690,3.0
226,1751,3.5
226,1870,3.5
226,1879,4.5
226,1929,3.0
226,2083,4.0
226,2149,3.0
226,2200,3.5
226,2221,3.5
226,2242,4.0
226,2246,3.0
226,2384,3.5
226,2590,4.5
226,2649,4.0
226,2709,3.5
226,2716,4.0
226,2832,4.5
226,2870,4.0
226,3102,4.0
226,3157,3.5
226,3209,5.0
226,3223,4.5
226,3416,2.5
226,3417,4.0
226,3423,4.5
226,3449,5.0
226,3613,4.0
226,3726,4.5
226,3788,4.5
226,3824,4.0
226,3844,4.0
226,3890,4.0
226,3954,5.0
226,3967,5.0
226,3972,5.0
226,4209,4.5
226,4309,4.0
226,4435,4.0
226,4465,3.0
226,4565,4.0
271,292,5.0
271,521,2.5
271,1265,4.5
271,1574,3.5
271,2530,5.0
271,2678,4.0
271,2686,3.0
271,2740,3.5
271,2851,5.0
271,2859,4.0
271,2899,4.0
271,3060,3.0
271,3146,4.0
271,3242,3.0
271,3437,5.0
271,3517,4.0
271,3673,3.5
271,3692,5.0
271,3790,4.0
271,3811,3.0
271,3822,5.0
271,3832,4.5
271,3920,4.0
271,3970,3.5
271,3971,5.0
271,3980,5.0
271,4025,3.5
271,4032,4.5
271,4104,3.0
271,4105,3.0
271,4136,5.0
271,4215,4.0
271,4231,5.0
271,4279,2.5
271,4379,5.0
271,4398,1.5
271,4413,2.5
271,4434,3.5
271,4472,4.0
271,4489,2.5
271,4531,3.5
271,4550,3.5
271,4651,3.5
294,1,3.5
294,152,4.0
294,440,4.0
294,501,3.5
294,819,3.5
294,1170,3.5
294,1270,4.0
294,1729,4.5
294,1940,4.0
294,2063,4.5
294,2199,4.5
294,2339,4.0
294,2420,3.5
294,2612,4.0
294,2674,4.5
294,2683,3.5
294,2695,4.0
294,2739,5.0
294,2768,4.0
294,2818,4.0
294,2859,4.0
294,2863,5.0
294,2971,3.5
294,3032,3.5
294,3107,4.5
294,3401,4.0
294,3519,3.0
294,3563,3.5
294,4087,4.5
294,4347,4.0
392,22,3.5
392,26,4.0
392,160,3.5
392,161,3.5
392,184,3.5
392,233,2.0
392,265,4.0
392,364,2.0
392,501,4.5
392,746,2.5
392,827,4.0
392,963,2.0
392,1187,4.5
392,1201,2.5
392,1498,3.5
392,1698,3.5
392,1922,3.5
392,1926,3.0
392,2032,2.0
392,2099,3.0
392,2181,4.5
392,2242,4.5
392,2370,3.5
392,2394,3.5
392,2417,3.5
392,2648,3.0
392,2700,4.0
392,2820,4.0
392,2827,3.0
392,2892,2.0
392,3150,3.0
392,3228,3.5
392,3371,3.0
392,3376,4.0
392,3417,2.5
392,3585,3.5
392,3766,2.5
392,3786,2.5
